Name,Age,City,Join_Date,Salary,Gender
Martha Carter,23.0,SF,2019-11-22,273214.21426033217,female
Robert Daniels,24.0,New York,2022-08-23,,Male
Colleen Rodriguez,25.0,Los Angeles,2022-10-13,2000000.0,female
Jennifer Cox,54.0,san francisco,2023-08-09,9999999.0,Female
Andrea Davis,55.0,san francisco,2021-09-24,89896.50834987118,Female
Rebekah Kelly,48.0,San Francisco,2021-03-02,10.0,Femle
David Walker,54.0,SF,2024-02-19,10.0,Femle
Phillip Henry,66.0,san francisco,2023-06-14,10.0,Female
,21.0,San Francisco,2022-11-27,229724.7819280926,female
Matthew Rodriguez,25.0,New York,01/08/2021,2000000.0,
Andrew Frank,43.0,LA,2024-06-30,9999999.0,female
Nicholas Torres,57.0,SF,2023-10-13,10.0,female
Juan Cabrera,46.0,Los Angeles,2022-12-02,71082.28300614096,Mmale
Carly Brewer,,New York,2020-07-26,2000000.0,
Stephanie Perez,19.0,SF,17/11/2019,2000000.0,female
Angela Smith,63.0,new york,2019-12-26,9999999.0,Femle
Renee Savage,38.0,LA,31/12/2023,,Mmale
Vickie Erickson,70.0,San Francisco,2022-09-08,9999999.0,Mmale
Lorraine Levy,18.0,Los Angeles,,2000000.0,Female
Sheri Richards,40.0,San Francisco,,10.0,femlae
Ashley Briggs,69.0,san francisco,2022-09-02,9999999.0,Female
John Chandler,47.0,LA,2023-10-27,,male
Alyssa Bryant,25.0,new york,2023-01-07,83976.06313335408,male
Shawn Rodriguez,49.0,SF,2024-06-25,137222.64128248207,male
Ryan Anderson,61.0,san francisco,2022-10-07,,Femle
Courtney Duran,32.0,San Francisco,2022-04-03,,female
Jacqueline Turner,44.0,San Francisco,2023-09-17,9999999.0,female
,57.0,New York,,10.0,
,63.0,New York,2023-06-13,10.0,Female
James Rodriguez,,san francisco,,,female
Stacy Wilson,48.0,New York,2022-09-09,169592.74583585028,femlae
Michael Koch,67.0,new york,14/01/2022,2000000.0,Male
Jillian Mitchell,34.0,new york,2022-04-17,2000000.0,Mmale
,63.0,san francisco,09/07/2021,2000000.0,Female
Richard Morgan,63.0,san francisco,2023-07-15,2000000.0,Mmale
Kelly Mitchell,59.0,San Francisco,2022-03-25,,female
Amber Strong,21.0,Los Angeles,2024-01-13,,Mmale
,65.0,SF,2023-12-18,,Mmale
Kimberly Smith,45.0,SF,2020-09-10,2000000.0,Male
Joshua Bailey,49.0,san francisco,2022-04-15,,Femle
Colleen Reyes,65.0,SF,2023-07-24,2000000.0,Male
Madison Thornton,50.0,SF,2023-05-20,9999999.0,female
Krystal Guzman,66.0,New York,,10.0,male
Amber Marquez,55.0,New York,07/08/2021,2000000.0,Femle
Andrew Collins,23.0,SF,05/09/2023,173842.26571579266,femlae
,66.0,SF,2023-11-30,10.0,Female
Danny Hernandez,24.0,Los Angeles,2023-06-04,,Male
Christopher Quinn,61.0,new york,2021-04-26,10.0,Mmale
Natasha Henry,55.0,Los Angele,,9999999.0,male
Gary Ramirez,49.0,Los Angele,2024-10-05,2000000.0,Female
David Morris,37.0,Los Angele,25/11/2021,9999999.0,Female
Rebecca Johnson,30.0,SF,2021-11-21,,female
Rhonda Clayton,70.0,LA,20/12/2022,9999999.0,
Brady Anderson,54.0,san francisco,2019-11-16,10.0,Mmale
Jennifer Sanchez,42.0,SF,,9999999.0,Femle
Autumn Grant,48.0,San Francisco,2021-01-06,,male
Ryan Bruce,,New York,2021-10-07,,
,50.0,san francisco,02/10/2021,2000000.0,Male
Gina Berry,49.0,Los Angele,2020-11-29,,female
Chris Foster,27.0,Los Angele,2023-04-18,9999999.0,female
Rachel Wheeler,65.0,Los Angeles,2023-05-24,10.0,Femle
Jason Adams,69.0,san francisco,12/06/2022,10.0,Mmale
Michelle Hall,41.0,new york,2023-11-05,,Male
Christopher Wright,52.0,San Francisco,2021-07-23,2000000.0,femlae
Jennifer Fitzpatrick MD,26.0,new york,,173960.51414453101,femlae
Joseph Tapia,21.0,LA,2019-11-03,9999999.0,femlae
George Hoffman,18.0,SF,,,Male
Kayla Prince,27.0,New York,2021-09-27,,Male
Christopher Lewis,24.0,Los Angeles,2024-09-03,,male
Teresa Warren,57.0,new york,2021-08-03,,female
Alicia Cisneros,42.0,san francisco,2020-09-25,9999999.0,Male
Amy Patterson,44.0,San Francisco,2022-04-03,9999999.0,femlae
Brandon Costa,55.0,Los Angeles,2020-09-12,9999999.0,female
Debbie Kennedy,,LA,2022-04-13,113009.42752971791,Male
Cynthia Preston,66.0,New York,2024-05-08,9999999.0,femlae
,57.0,san francisco,2023-03-15,2000000.0,Male
Whitney Rhodes,35.0,San Francisco,2024-07-08,,male
Christopher Salazar,69.0,New York,2022-09-10,2000000.0,
,36.0,san francisco,2020-01-06,9999999.0,
Emily Brandt,,LA,08/09/2022,,
Stephen Jones,55.0,Los Angele,2020-02-22,2000000.0,female
,,New York,2024-02-19,64930.01036176919,femlae
Sarah Lopez,53.0,san francisco,2022-04-07,148776.32806803175,male
Dustin Martinez,24.0,SF,2024-09-08,9999999.0,Female
Marissa Swanson,35.0,Los Angeles,2021-07-11,146442.92794895213,Mmale
Hannah Garcia,,Los Angeles,,9999999.0,femlae
Miguel Marshall,42.0,new york,2020-08-06,9999999.0,femlae
Mr. Christopher Perry,25.0,Los Angele,2024-01-10,2000000.0,male
Larry Lopez,46.0,san francisco,2020-01-08,2000000.0,male
Laura Smith,37.0,Los Angeles,2023-04-24,,
Denise Martinez,50.0,SF,2024-03-02,9999999.0,Femle
Brian Stout,57.0,Los Angele,2024-03-11,10.0,Female
Nicholas Owens,55.0,Los Angele,2022-06-14,299670.29961677594,male
Danielle Escobar,45.0,Los Angele,2021-04-28,9999999.0,Femle
Wayne Cherry Jr.,,new york,2021-11-16,2000000.0,
Lisa Perez,53.0,New York,,9999999.0,Mmale
Sherry Sanchez,54.0,san francisco,09/02/2020,9999999.0,female
Jennifer Morales,24.0,San Francisco,2023-09-10,2000000.0,female
,60.0,san francisco,2019-11-18,10.0,Female
,69.0,SF,2020-06-18,,Female
William Brown,32.0,new york,19/06/2023,9999999.0,Male
Bryan Armstrong,69.0,SF,2022-02-22,10.0,
Jill Warren,52.0,Los Angele,2021-08-02,,Male
Krystal Carroll,68.0,New York,13/04/2024,,femlae
Joshua Wilson,39.0,New York,06/05/2024,2000000.0,Mmale
Rebecca Hughes,62.0,new york,,2000000.0,Mmale
,38.0,Los Angele,,2000000.0,Female
Dale Torres,29.0,Los Angele,2022-05-15,9999999.0,Female
,26.0,san francisco,2022-08-11,9999999.0,femlae
,,LA,2021-09-30,2000000.0,
Corey Harrison,34.0,New York,2021-10-05,,Female
April Smith,33.0,San Francisco,2022-03-09,10.0,Mmale
Michael Rich,54.0,New York,2020-12-23,2000000.0,female
Heather Howard,44.0,new york,2021-05-31,201642.08338030535,Mmale
Elizabeth Gomez MD,,Los Angeles,26/06/2022,57893.9078574691,Female
Christine Hebert,,LA,2020-01-06,,Mmale
,,san francisco,2020-12-06,,female
Kari Harrison,37.0,San Francisco,2020-10-17,9999999.0,Mmale
Tyler Roberts,31.0,san francisco,,2000000.0,male
Barbara Perez,,san francisco,07/04/2022,9999999.0,Male
,30.0,Los Angeles,2023-05-10,,
Mr. Michael Herman,44.0,LA,05/10/2021,10.0,Male
Paula Knight,49.0,Los Angele,06/04/2024,9999999.0,Female
Jennifer Hawkins,22.0,san francisco,2022-05-29,,Female
Linda West,67.0,SF,13/05/2024,,Female
Lisa Maynard,57.0,San Francisco,2021-04-24,10.0,Male
Allison Johnston,23.0,San Francisco,,9999999.0,Femle
,36.0,LA,2024-08-16,9999999.0,female
Brian Morrow,25.0,San Francisco,,9999999.0,femlae
Cindy Strong,44.0,LA,2022-12-16,10.0,femlae
,34.0,Los Angele,2020-10-15,9999999.0,Femle
Sarah Serrano,60.0,san francisco,01/02/2024,2000000.0,Male
Tyler Ayers,28.0,san francisco,2024-08-02,10.0,Female
Wanda Mckay,45.0,LA,15/12/2021,,male
,24.0,san francisco,2021-09-27,10.0,femlae
Jose Malone,56.0,Los Angeles,2022-12-20,9999999.0,female
Tyler Hansen,23.0,LA,2024-05-28,9999999.0,femlae
Elizabeth Robinson,52.0,LA,2024-04-17,9999999.0,Mmale
Jason Graham,60.0,LA,,,male
Mark Robertson,52.0,LA,2021-06-06,162618.74033282915,
Derek Costa,37.0,Los Angele,21/02/2023,2000000.0,femlae
Krystal Thomas,33.0,new york,15/12/2021,9999999.0,Femle
Steven Thomas,18.0,SF,2019-11-25,9999999.0,Female
Mr. Alexander Bush,27.0,San Francisco,2021-10-09,2000000.0,femlae
Sean Marks,28.0,Los Angele,2023-03-10,,Female
,18.0,LA,2021-12-29,9999999.0,Male
,23.0,san francisco,2021-11-26,10.0,femlae
Nicole Johnson,38.0,Los Angeles,2020-02-26,,
Ruth Dennis,26.0,LA,2022-03-16,9999999.0,
Carrie Powell,18.0,SF,13/06/2021,,
Gabriel Potts,58.0,Los Angele,,,Mmale
Daniel Graham,19.0,San Francisco,,,Femle
,38.0,SF,2022-04-20,2000000.0,Mmale
Monique Weaver,20.0,SF,2023-12-24,9999999.0,
Sara Chan,51.0,san francisco,2024-02-21,2000000.0,Mmale
Natalie Petty,24.0,New York,2022-12-07,9999999.0,femlae
Kelly Patterson,57.0,san francisco,2020-08-20,,Mmale
Eric Scott,61.0,New York,,280296.68735965085,female
Pamela Lopez,48.0,new york,2022-05-11,2000000.0,Female
Bryan Smith,26.0,San Francisco,23/10/2022,,Male
Alicia Wood,66.0,San Francisco,04/04/2024,10.0,Femle
Gary Miller,70.0,LA,2023-07-08,10.0,Mmale
Charles Dixon,39.0,SF,2021-02-27,,Male
Vincent Reynolds,44.0,Los Angeles,2020-02-29,,female
Benjamin Ross,45.0,new york,2024-05-14,10.0,femlae
William Williams,18.0,San Francisco,2020-02-25,9999999.0,Male
Gregory Mccoy,46.0,san francisco,2022-12-23,10.0,Mmale
Brian Bruce,22.0,New York,2021-09-28,,Femle
Kristopher Valdez,,Los Angele,10/11/2020,9999999.0,Mmale
Karen Walker,60.0,SF,,10.0,female
Sara Dalton,,Los Angeles,2024-02-26,10.0,Femle
Carrie Rodriguez,57.0,New York,2023-04-13,10.0,
Diana King,62.0,LA,2021-03-09,9999999.0,Female
Isaac Hughes,19.0,san francisco,2020-06-20,,
William Duncan,58.0,New York,,9999999.0,Femle
Jason Jones,31.0,san francisco,2023-09-15,10.0,femlae
Danny Carter DVM,39.0,new york,2021-07-24,2000000.0,Male
Tanya Jimenez,59.0,san francisco,2022-09-10,10.0,female
Danny Cox,35.0,san francisco,2022-05-27,2000000.0,female
,66.0,Los Angele,,,Femle
Noah Robles,33.0,new york,2024-07-15,9999999.0,Female
Michael Stanley,67.0,SF,2022-09-24,10.0,Femle
Tiffany Ruiz,28.0,Los Angeles,2022-08-22,,Femle
Robert Hall,22.0,San Francisco,2020-08-05,2000000.0,Mmale
Kenneth Morris,68.0,LA,2024-01-03,2000000.0,
James White,54.0,Los Angele,05/05/2024,10.0,Male
Todd Cisneros,47.0,Los Angeles,,2000000.0,Mmale
Shirley Dunn,59.0,San Francisco,06/01/2023,2000000.0,Mmale
Leah Avery,,New York,,10.0,Mmale
Tiffany Brown,20.0,san francisco,29/04/2021,,female
Sara Davis,67.0,San Francisco,,,
David Gomez,56.0,Los Angele,2019-12-10,2000000.0,Femle
Erika Ferguson,70.0,Los Angeles,2022-12-01,9999999.0,Female
Lynn Rivera,58.0,San Francisco,2022-03-30,2000000.0,
Clarence White,63.0,LA,2021-01-24,10.0,Female
Alexis Cortez,,san francisco,2022-03-03,10.0,femlae
Joyce Harrison,69.0,San Francisco,2021-01-09,154485.98607857642,femlae
Richard Moore,67.0,San Francisco,2024-04-04,9999999.0,femlae
Laura Murray,33.0,new york,,,Female
Amy Clark,47.0,new york,2020-08-09,2000000.0,Male
Andrea Smith,41.0,LA,,,Femle
,53.0,new york,2020-03-30,9999999.0,
Thomas Kelley,34.0,san francisco,2022-07-15,9999999.0,Mmale
Kelly Massey,63.0,LA,19/12/2020,9999999.0,female
Charles House,58.0,Los Angeles,2019-11-30,,Mmale
Christy Banks,48.0,Los Angeles,2020-10-30,,Female
James Armstrong,,Los Angeles,28/11/2022,9999999.0,femlae
Robert Ford,22.0,New York,06/03/2020,,
Kayla Allen,68.0,LA,,9999999.0,female
Ashley Bass,26.0,New York,29/12/2022,,Female
Erika Gonzalez,63.0,Los Angeles,2019-12-23,,male
Andrew Whitaker,47.0,Los Angeles,2024-07-06,10.0,male
Ashley Hawkins,,San Francisco,,,Female
Tyler Powers,18.0,Los Angele,2024-01-25,90536.81895634835,male
Arthur Barnett,28.0,san francisco,13/05/2020,10.0,female
John Marshall,20.0,Los Angele,2020-01-09,129803.82604539169,male
Valerie Koch,62.0,Los Angeles,2022-07-10,9999999.0,Female
Kevin Carpenter,51.0,Los Angele,2020-11-03,10.0,Mmale
Tina Ponce,,new york,2021-04-23,10.0,Mmale
,57.0,Los Angele,2020-06-06,10.0,femlae
Nicole Byrd,33.0,SF,2021-07-17,,Mmale
,26.0,Los Angele,2023-11-18,10.0,Female
Brian Roberts,42.0,Los Angeles,,,Female
Eric Ferguson,57.0,Los Angele,2021-02-06,,Male
Taylor Robinson,52.0,new york,2020-06-30,10.0,Male
Timothy Knapp,18.0,new york,2020-10-20,9999999.0,Female
Michelle Ingram,59.0,San Francisco,2023-12-27,9999999.0,Female
Sharon Brown,50.0,san francisco,2021-09-28,,
Allen Bradshaw,,Los Angele,20/03/2020,,femlae
Donald Smith,,Los Angeles,2023-01-09,2000000.0,female
Jason Guzman,27.0,Los Angeles,2021-12-21,2000000.0,male
Jason Wilson,47.0,SF,2022-07-20,2000000.0,male
Sarah Garcia,52.0,San Francisco,2020-01-22,10.0,femlae
Julian Diaz,69.0,San Francisco,2020-04-24,2000000.0,Mmale
Katie Allen,44.0,New York,2021-05-20,10.0,male
Aaron Smith,30.0,san francisco,27/06/2020,,
David Hale,55.0,Los Angele,2022-11-06,9999999.0,Female
Erica Andrews,59.0,new york,2022-01-06,9999999.0,femlae
,22.0,New York,19/06/2024,2000000.0,Female
Daniel Ramos,54.0,new york,2023-05-23,,female
Earl Myers,23.0,Los Angeles,2020-07-17,2000000.0,female
Caleb Hill,18.0,Los Angele,2023-01-14,9999999.0,Mmale
Jessica Travis MD,19.0,Los Angeles,2022-05-31,9999999.0,male
Jessica Singleton,45.0,san francisco,2021-07-19,9999999.0,female
David Patton,61.0,New York,2022-10-31,192769.63174184176,Female
Kristin Huff,55.0,New York,2022-04-08,181452.22197980963,Female
Amy Vang,59.0,New York,25/08/2021,2000000.0,
Shane Edwards,63.0,Los Angeles,2021-05-23,,Male
,,San Francisco,2022-03-06,,Female
,36.0,SF,,10.0,Mmale
Megan Ayala,,LA,2023-10-14,2000000.0,
,62.0,Los Angele,2020-03-18,2000000.0,Male
Michele Garrett,36.0,Los Angeles,2020-02-28,9999999.0,Female
Christina Rhodes,29.0,Los Angeles,2024-06-28,9999999.0,male
Laurie Romero,51.0,new york,2022-08-24,,Mmale
Dale Davis,28.0,New York,,9999999.0,Mmale
Daniel Haynes,55.0,new york,2021-11-03,9999999.0,
,31.0,SF,2022-06-01,9999999.0,Mmale
Tiffany Anderson,36.0,Los Angeles,24/06/2023,,Femle
Jessica Peters,62.0,SF,,9999999.0,Female
Allen Wong,25.0,SF,2021-05-13,164865.58280780687,male
Julian Brown,38.0,Los Angele,2020-11-23,,
Danny Perez,51.0,new york,,10.0,femlae
Hannah Adams,30.0,new york,,9999999.0,female
Cindy Williams,,Los Angele,2020-01-24,9999999.0,Female
Roy Alvarez,,SF,2022-08-19,10.0,female
Brittany Martinez,30.0,san francisco,2020-08-25,,Femle
Danny Martinez Jr.,29.0,SF,2023-06-05,,Female
John Nelson,68.0,New York,2020-09-02,2000000.0,femlae
Joshua Bishop,52.0,Los Angele,2020-01-04,9999999.0,Femle
,49.0,Los Angeles,2021-11-05,,Female
Katie Hernandez,51.0,Los Angele,01/06/2020,10.0,Mmale
Justin Thompson,70.0,san francisco,2023-03-25,,Femle
Barbara Martinez,63.0,LA,2019-11-07,,Female
Douglas Liu,43.0,San Francisco,2024-04-09,2000000.0,femlae
Sheena Gomez,36.0,san francisco,,9999999.0,Femle
Stephanie Armstrong,33.0,Los Angele,04/02/2021,10.0,Femle
Melissa Smith,41.0,new york,2024-04-04,10.0,Male
Kevin Mcbride,26.0,SF,2020-06-20,9999999.0,Female
Tony Barker,29.0,Los Angeles,2024-01-06,249680.0968120697,Mmale
Elizabeth Hahn,27.0,Los Angeles,09/09/2022,2000000.0,female
Barbara Smith,21.0,new york,10/06/2021,2000000.0,Mmale
Michael Walter,43.0,Los Angele,2022-08-14,10.0,Female
James Pruitt,41.0,Los Angele,2021-06-17,,Mmale
Brett Williams,63.0,new york,2023-10-04,2000000.0,Male
Timothy Holmes,70.0,SF,24/03/2022,,femlae
Andrew Pennington,70.0,san francisco,16/04/2023,10.0,male
David Edwards,54.0,SF,,2000000.0,Mmale
Austin Maddox,21.0,New York,2021-01-31,,Male
Erin Hoover,,Los Angeles,2024-07-03,9999999.0,Male
Jason Hughes,36.0,SF,18/12/2019,,Male
Christina White,20.0,Los Angeles,2021-03-15,9999999.0,female
Jason Roberts,41.0,New York,2019-12-21,2000000.0,Male
Matthew Skinner,28.0,Los Angele,2021-06-21,216558.27314992767,
Jeffrey Allen,35.0,San Francisco,2023-11-07,10.0,male
Angel Edwards,50.0,new york,2024-05-31,9999999.0,male
Matthew Pineda,25.0,New York,2021-09-06,2000000.0,femlae
Mark Daniel,42.0,San Francisco,02/09/2021,9999999.0,femlae
James Collins,23.0,san francisco,2021-07-19,10.0,female
Victoria Moore,25.0,SF,2023-08-04,134759.15710204016,Mmale
Lauren Wong,64.0,Los Angele,2024-05-04,2000000.0,
Jeffrey Phelps,26.0,LA,,9999999.0,Femle
Sharon Williams,22.0,New York,2020-03-17,10.0,female
Jennifer Adkins,36.0,New York,2022-05-04,112019.17779215772,male
Roberto Haley,21.0,San Francisco,2019-12-30,,Femle
Jon Carey,23.0,Los Angeles,2023-12-16,,femlae
Patrick Lawson,27.0,Los Angeles,2021-02-02,9999999.0,Femle
Jessica Romero,69.0,san francisco,2022-11-28,,Female
Kimberly Thomas,26.0,new york,2023-07-21,,Mmale
Ashley Clay,55.0,SF,2023-03-22,9999999.0,Femle
Heather Valentine,26.0,LA,05/11/2023,9999999.0,Femle
Yvonne Werner,27.0,San Francisco,2022-03-03,217397.35258604755,Male
Trevor Chandler,23.0,Los Angeles,2020-01-08,154132.1083711337,male
Anthony Hall,54.0,San Francisco,,10.0,female
,49.0,san francisco,2023-08-17,10.0,femlae
Joanne Allen,27.0,LA,09/07/2020,10.0,Female
Caitlin Morris,31.0,san francisco,2021-03-31,9999999.0,Femle
Michael Arnold,37.0,LA,2023-04-02,9999999.0,Mmale
Susan Dixon,47.0,new york,2024-03-23,,Femle
Sharon Harvey,48.0,san francisco,2022-02-11,10.0,Male
Jonathan Edwards,26.0,LA,2020-02-26,9999999.0,
Brandon Jones,55.0,San Francisco,2022-04-26,10.0,
Susan Stewart,63.0,Los Angeles,19/11/2020,2000000.0,femlae
Jonathan Bennett,29.0,LA,2023-06-05,2000000.0,femlae
Ronald Morris,26.0,New York,2020-10-10,10.0,
Randy Ayers,36.0,new york,2021-08-19,,
Wendy Marshall,48.0,LA,2023-11-07,2000000.0,
Joseph Turner,48.0,SF,2020-08-29,9999999.0,male
Joseph Chapman,70.0,San Francisco,04/09/2023,,female
Eric Adams,68.0,San Francisco,2020-10-20,9999999.0,female
Brett Marsh,34.0,san francisco,2024-03-09,2000000.0,Femle
Brian Freeman,62.0,Los Angeles,,2000000.0,Femle
,46.0,Los Angele,2020-05-04,9999999.0,
Caroline Montes,40.0,New York,,2000000.0,Mmale
Mackenzie Brown,44.0,SF,08/08/2024,,Male
Nicholas Griffin,47.0,New York,2020-08-01,2000000.0,Mmale
Olivia Zuniga,,Los Angeles,25/04/2020,9999999.0,female
Larry Hill,40.0,Los Angele,2019-11-11,57770.52333968989,femlae
Andrew Parsons,49.0,Los Angeles,18/12/2021,10.0,Mmale
Kimberly Pham,28.0,new york,2020-12-23,,femlae
Cassandra Macdonald,67.0,new york,22/03/2021,10.0,Female
Sarah Avila,,Los Angele,22/09/2024,,Female
Sara Warren,29.0,Los Angeles,2024-03-18,10.0,Mmale
,64.0,LA,2022-11-10,2000000.0,Male
Scott Petersen,54.0,New York,2024-08-13,10.0,female
Kayla Sanchez,44.0,Los Angele,14/12/2021,10.0,male
Jason Meza,57.0,Los Angeles,,2000000.0,
